week_start,year,port,country,region,throughput_teu_mn,vessels_at_anchor,avg_wait_days,congestion_index,port_utilization_pct,berth_delay_hrs
2019-07-29,2019,Shanghai,China,Asia,95,21,45.1,1.0,0.755,529.0
2019-08-05,2019,Shanghai,China,Asia,95,14,45.6,1.01,0.794,541.2
2019-08-12,2019,Shanghai,China,Asia,95,21,38.2,0.85,0.667,462.5
2019-08-19,2019,Shanghai,China,Asia,95,35,62.5,1.39,0.99,740.9
2019-08-26,2019,Shanghai,China,Asia,95,33,37.1,0.82,0.606,436.9
2019-09-02,2019,Shanghai,China,Asia,95,21,44.7,0.99,0.739,534.4
2019-09-09,2019,Shanghai,China,Asia,95,16,54.1,1.2,0.882,656.9
2019-09-16,2019,Shanghai,China,Asia,95,16,48.4,1.08,0.776,575.4
2019-09-23,2019,Shanghai,China,Asia,95,35,44.6,0.99,0.732,534.9
2019-09-30,2019,Shanghai,China,Asia,95,0,49.8,1.11,0.904,588.1
2019-10-07,2019,Shanghai,China,Asia,95,26,47.3,1.05,0.863,572.0
2019-10-14,2019,Shanghai,China,Asia,95,9,31.5,0.7,0.552,376.5
2019-10-21,2019,Shanghai,China,Asia,95,33,48.3,1.07,0.862,578.4
2019-10-28,2019,Shanghai,China,Asia,95,13,34.1,0.76,0.608,400.6
2019-11-04,2019,Shanghai,China,Asia,95,35,49.5,1.1,0.863,569.1
2019-11-11,2019,Shanghai,China,Asia,95,36,37.1,0.83,0.622,429.9
2019-11-18,2019,Shanghai,China,Asia,95,27,54.2,1.2,0.983,652.1
2019-11-25,2019,Shanghai,China,Asia,95,28,48.2,1.07,0.863,596.7
2019-12-02,2019,Shanghai,China,Asia,95,5,52.1,1.16,0.92,633.8
2019-12-09,2019,Shanghai,China,Asia,95,21,53.9,1.2,0.981,654.2
2019-12-16,2019,Shanghai,China,Asia,95,20,66.2,1.47,0.99,791.8
2019-12-23,2019,Shanghai,China,Asia,95,11,41.8,0.93,0.614,498.2
2019-12-30,2019,Shanghai,China,Asia,95,17,47.6,1.06,0.902,570.9
2020-01-06,2020,Shanghai,China,Asia,95,30,54.6,1.21,0.98,657.6
2020-01-13,2020,Shanghai,China,Asia,95,28,55.3,1.23,0.978,666.0
2020-01-20,2020,Shanghai,China,Asia,95,25,43.1,0.96,0.836,515.0
2020-01-27,2020,Shanghai,China,Asia,95,39,47.9,1.06,0.876,575.2
2020-02-03,2020,Shanghai,China,Asia,95,19,31.5,0.7,0.457,389.4
2020-02-10,2020,Shanghai,China,Asia,95,34,46.2,1.03,0.764,541.5
2020-02-17,2020,Shanghai,China,Asia,95,23,46.8,1.04,0.791,562.2
2020-02-24,2020,Shanghai,China,Asia,95,48,68.2,1.51,0.99,824.6
2020-03-02,2020,Shanghai,China,Asia,95,25,56.2,1.25,0.892,672.7
2020-03-09,2020,Shanghai,China,Asia,95,13,50.8,1.13,0.874,604.4
2020-03-16,2020,Shanghai,China,Asia,95,38,56.4,1.25,0.99,681.4
2020-03-23,2020,Shanghai,China,Asia,95,24,44.7,0.99,0.728,519.5
2020-03-30,2020,Shanghai,China,Asia,95,26,46.0,1.02,0.846,564.9
2020-04-06,2020,Shanghai,China,Asia,95,40,160.4,3.56,0.99,1928.6
2020-04-13,2020,Shanghai,China,Asia,95,186,214.1,4.76,0.99,2565.6
2020-04-20,2020,Shanghai,China,Asia,95,53,76.8,1.71,0.99,920.2
2020-04-27,2020,Shanghai,China,Asia,95,86,96.8,2.15,0.99,1141.6
2020-05-04,2020,Shanghai,China,Asia,95,37,116.5,2.59,0.99,1397.5
2020-05-11,2020,Shanghai,China,Asia,95,64,92.3,2.05,0.99,1102.9
2020-05-18,2020,Shanghai,China,Asia,95,42,123.0,2.73,0.99,1480.9
2020-05-25,2020,Shanghai,China,Asia,95,68,140.3,3.12,0.99,1688.9
2020-06-01,2020,Shanghai,China,Asia,95,35,60.9,1.35,0.99,721.1
2020-06-08,2020,Shanghai,China,Asia,95,39,87.7,1.95,0.99,1057.3
2020-06-15,2020,Shanghai,China,Asia,95,65,87.6,1.95,0.99,1045.7
2020-06-22,2020,Shanghai,China,Asia,95,6,77.2,1.72,0.99,924.0
2020-06-29,2020,Shanghai,China,Asia,95,17,49.2,1.09,0.816,602.5
2020-07-06,2020,Shanghai,China,Asia,95,8,60.1,1.34,0.99,731.9
2020-07-13,2020,Shanghai,China,Asia,95,27,80.1,1.78,0.99,942.5
2020-07-20,2020,Shanghai,China,Asia,95,24,57.3,1.27,0.99,684.1
2020-07-27,2020,Shanghai,China,Asia,95,80,103.2,2.29,0.99,1234.1
2020-08-03,2020,Shanghai,China,Asia,95,95,99.6,2.21,0.99,1204.0
2020-08-10,2020,Shanghai,China,Asia,95,38,73.8,1.64,0.99,877.8
2020-08-17,2020,Shanghai,China,Asia,95,42,74.6,1.66,0.99,893.8
2020-08-24,2020,Shanghai,China,Asia,95,65,102.3,2.27,0.99,1233.3
2020-08-31,2020,Shanghai,China,Asia,95,147,128.1,2.85,0.99,1533.0
2020-09-07,2020,Shanghai,China,Asia,95,88,126.1,2.8,0.99,1510.4
2020-09-14,2020,Shanghai,China,Asia,95,34,117.8,2.62,0.99,1414.3
2020-09-21,2020,Shanghai,China,Asia,95,47,135.0,3.0,0.99,1604.9
2020-09-28,2020,Shanghai,China,Asia,95,11,68.6,1.53,0.99,814.1
2020-10-05,2020,Shanghai,China,Asia,95,24,81.1,1.8,0.99,983.9
2020-10-12,2020,Shanghai,China,Asia,95,61,122.1,2.71,0.99,1462.3
2020-10-19,2020,Shanghai,China,Asia,95,71,110.5,2.46,0.99,1326.3
2020-10-26,2020,Shanghai,China,Asia,95,30,54.4,1.21,0.974,651.1
2020-11-02,2020,Shanghai,China,Asia,95,48,172.7,3.84,0.99,2072.2
2020-11-09,2020,Shanghai,China,Asia,95,45,97.2,2.16,0.99,1173.0
2020-11-16,2020,Shanghai,China,Asia,95,75,151.4,3.36,0.99,1811.3
2020-11-23,2020,Shanghai,China,Asia,95,39,126.0,2.8,0.99,1529.9
2020-11-30,2020,Shanghai,China,Asia,95,0,96.5,2.15,0.99,1168.4
2020-12-07,2020,Shanghai,China,Asia,95,66,118.2,2.63,0.99,1422.6
2020-12-14,2020,Shanghai,China,Asia,95,105,144.3,3.21,0.99,1734.6
2020-12-21,2020,Shanghai,China,Asia,95,55,131.4,2.92,0.99,1590.4
2020-12-28,2020,Shanghai,China,Asia,95,74,106.9,2.37,0.99,1277.6
2021-01-04,2021,Shanghai,China,Asia,95,174,202.6,4.5,0.99,2417.1
2021-01-11,2021,Shanghai,China,Asia,95,174,185.0,4.11,0.99,2206.1
2021-01-18,2021,Shanghai,China,Asia,95,200,430.0,8.0,0.99,5157.5
2021-01-25,2021,Shanghai,China,Asia,95,113,310.9,6.91,0.99,3735.6
2021-02-01,2021,Shanghai,China,Asia,95,119,222.4,4.94,0.99,2677.3
2021-02-08,2021,Shanghai,China,Asia,95,13,142.7,3.17,0.99,1717.1
2021-02-15,2021,Shanghai,China,Asia,95,147,244.4,5.43,0.99,2939.0
2021-02-22,2021,Shanghai,China,Asia,95,74,198.0,4.4,0.99,2392.6
2021-03-01,2021,Shanghai,China,Asia,95,62,100.8,2.24,0.99,1208.2
2021-03-08,2021,Shanghai,China,Asia,95,0,169.6,3.77,0.99,2031.7
2021-03-15,2021,Shanghai,China,Asia,95,61,87.1,1.94,0.99,1057.0
2021-03-22,2021,Shanghai,China,Asia,95,119,232.8,5.17,0.99,2807.2
2021-03-29,2021,Shanghai,China,Asia,95,83,317.4,7.05,0.99,3812.0
2021-04-05,2021,Shanghai,China,Asia,95,60,97.8,2.17,0.99,1178.6
2021-04-12,2021,Shanghai,China,Asia,95,198,363.6,8.0,0.99,4366.1
2021-04-19,2021,Shanghai,China,Asia,95,37,145.5,3.23,0.99,1757.3
2021-04-26,2021,Shanghai,China,Asia,95,100,135.7,3.01,0.99,1630.7
2021-05-03,2021,Shanghai,China,Asia,95,181,242.4,5.39,0.99,2920.5
2021-05-10,2021,Shanghai,China,Asia,95,149,228.2,5.07,0.99,2756.2
2021-05-17,2021,Shanghai,China,Asia,95,165,243.4,5.41,0.99,2913.9
2021-05-24,2021,Shanghai,China,Asia,95,189,330.9,7.35,0.99,3979.1
2021-05-31,2021,Shanghai,China,Asia,95,138,162.3,3.61,0.99,1948.7
2021-06-07,2021,Shanghai,China,Asia,95,89,323.2,7.18,0.99,3876.7
2021-06-14,2021,Shanghai,China,Asia,95,46,280.8,6.24,0.99,3375.8
2021-06-21,2021,Shanghai,China,Asia,95,63,158.5,3.52,0.99,1896.0
2021-06-28,2021,Shanghai,China,Asia,95,147,201.1,4.47,0.99,2426.1
2021-07-05,2021,Shanghai,China,Asia,95,50,153.4,3.41,0.99,1842.1
2021-07-12,2021,Shanghai,China,Asia,95,74,161.7,3.59,0.99,1952.3
2021-07-19,2021,Shanghai,China,Asia,95,71,145.5,3.23,0.99,1737.7
2021-07-26,2021,Shanghai,China,Asia,95,98,197.2,4.38,0.99,2376.5
2021-08-02,2021,Shanghai,China,Asia,95,78,176.8,3.93,0.99,2116.8
2021-08-09,2021,Shanghai,China,Asia,95,122,255.2,5.67,0.99,3055.0
2021-08-16,2021,Shanghai,China,Asia,95,165,359.8,8.0,0.99,4313.2
2021-08-23,2021,Shanghai,China,Asia,95,200,226.6,5.04,0.99,2703.9
2021-08-30,2021,Shanghai,China,Asia,95,98,337.4,7.5,0.99,4044.2
2021-09-06,2021,Shanghai,China,Asia,95,58,224.5,4.99,0.99,2697.7
2021-09-13,2021,Shanghai,China,Asia,95,43,134.7,2.99,0.99,1605.4
2021-09-20,2021,Shanghai,China,Asia,95,90,170.3,3.78,0.99,2041.6
2021-09-27,2021,Shanghai,China,Asia,95,67,200.1,4.45,0.99,2412.4
2021-10-04,2021,Shanghai,China,Asia,95,104,167.5,3.72,0.99,2012.8
2021-10-11,2021,Shanghai,China,Asia,95,200,377.3,8.0,0.99,4530.9
2021-10-18,2021,Shanghai,China,Asia,95,146,330.2,7.34,0.99,3957.3
2021-10-25,2021,Shanghai,China,Asia,95,59,111.3,2.47,0.99,1334.0
2021-11-01,2021,Shanghai,China,Asia,95,7,337.4,7.5,0.99,4041.1
2021-11-08,2021,Shanghai,China,Asia,95,80,196.6,4.37,0.99,2367.2
2021-11-15,2021,Shanghai,China,Asia,95,131,245.9,5.46,0.99,2943.5
2021-11-22,2021,Shanghai,China,Asia,95,63,284.2,6.31,0.99,3419.4
2021-11-29,2021,Shanghai,China,Asia,95,100,219.4,4.88,0.99,2610.2
2021-12-06,2021,Shanghai,China,Asia,95,107,227.6,5.06,0.99,2736.8
2021-12-13,2021,Shanghai,China,Asia,95,42,195.7,4.35,0.99,2349.3
2021-12-20,2021,Shanghai,China,Asia,95,114,211.2,4.69,0.99,2525.3
2021-12-27,2021,Shanghai,China,Asia,95,177,216.4,4.81,0.99,2597.8
2022-01-03,2022,Shanghai,China,Asia,95,51,125.3,2.79,0.99,1502.8
2022-01-10,2022,Shanghai,China,Asia,95,47,259.6,5.77,0.99,3104.5
2022-01-17,2022,Shanghai,China,Asia,95,96,250.9,5.57,0.99,3007.1
2022-01-24,2022,Shanghai,China,Asia,95,49,112.5,2.5,0.99,1361.7
2022-01-31,2022,Shanghai,China,Asia,95,76,115.7,2.57,0.99,1373.9
2022-02-07,2022,Shanghai,China,Asia,95,160,202.9,4.51,0.99,2430.6
2022-02-14,2022,Shanghai,China,Asia,95,97,142.1,3.16,0.99,1702.2
2022-02-21,2022,Shanghai,China,Asia,95,48,91.9,2.04,0.99,1093.5
2022-02-28,2022,Shanghai,China,Asia,95,105,181.0,4.02,0.99,2178.5
2022-03-07,2022,Shanghai,China,Asia,95,11,121.3,2.7,0.99,1462.8
2022-03-14,2022,Shanghai,China,Asia,95,41,127.0,2.82,0.99,1537.8
2022-03-21,2022,Shanghai,China,Asia,95,132,191.4,4.25,0.99,2301.4
2022-03-28,2022,Shanghai,China,Asia,95,63,138.8,3.09,0.99,1687.2
2022-04-04,2022,Shanghai,China,Asia,95,67,176.5,3.92,0.99,2110.2
2022-04-11,2022,Shanghai,China,Asia,95,78,234.6,5.21,0.99,2824.1
2022-04-18,2022,Shanghai,China,Asia,95,87,167.7,3.73,0.99,2011.8
2022-04-25,2022,Shanghai,China,Asia,95,48,125.7,2.79,0.99,1507.2
2022-05-02,2022,Shanghai,China,Asia,95,43,118.0,2.62,0.99,1421.7
2022-05-09,2022,Shanghai,China,Asia,95,76,176.8,3.93,0.99,2115.9
2022-05-16,2022,Shanghai,China,Asia,95,102,138.2,3.07,0.99,1650.7
2022-05-23,2022,Shanghai,China,Asia,95,60,115.6,2.57,0.99,1371.7
2022-05-30,2022,Shanghai,China,Asia,95,25,162.4,3.61,0.99,1946.1
2022-06-06,2022,Shanghai,China,Asia,95,48,131.7,2.93,0.99,1576.1
2022-06-13,2022,Shanghai,China,Asia,95,66,96.3,2.14,0.99,1162.9
2022-06-20,2022,Shanghai,China,Asia,95,54,94.1,2.09,0.99,1121.0
2022-06-27,2022,Shanghai,China,Asia,95,70,149.8,3.33,0.99,1813.2
2022-07-04,2022,Shanghai,China,Asia,95,185,165.2,3.67,0.99,1990.6
2022-07-11,2022,Shanghai,China,Asia,95,91,364.2,8.0,0.99,4370.0
2022-07-18,2022,Shanghai,China,Asia,95,179,321.5,7.14,0.99,3858.5
2022-07-25,2022,Shanghai,China,Asia,95,200,258.9,5.75,0.99,3112.2
2022-08-01,2022,Shanghai,China,Asia,95,53,223.0,4.96,0.99,2671.3
2022-08-08,2022,Shanghai,China,Asia,95,200,344.6,7.66,0.99,4147.2
2022-08-15,2022,Shanghai,China,Asia,95,200,410.4,8.0,0.99,4937.8
2022-08-22,2022,Shanghai,China,Asia,95,142,267.3,5.94,0.99,3200.4
2022-08-29,2022,Shanghai,China,Asia,95,115,175.2,3.89,0.99,2127.2
2022-09-05,2022,Shanghai,China,Asia,95,36,196.5,4.37,0.99,2370.7
2022-09-12,2022,Shanghai,China,Asia,95,178,277.6,6.17,0.99,3325.3
2022-09-19,2022,Shanghai,China,Asia,95,5,197.3,4.38,0.99,2349.3
2022-09-26,2022,Shanghai,China,Asia,95,66,183.1,4.07,0.99,2200.3
2022-10-03,2022,Shanghai,China,Asia,95,200,298.4,6.63,0.99,3589.6
2022-10-10,2022,Shanghai,China,Asia,95,156,272.1,6.05,0.99,3266.1
2022-10-17,2022,Shanghai,China,Asia,95,100,241.7,5.37,0.99,2903.2
2022-10-24,2022,Shanghai,China,Asia,95,88,264.7,5.88,0.99,3166.3
2022-10-31,2022,Shanghai,China,Asia,95,189,365.2,8.0,0.99,4388.3
2022-11-07,2022,Shanghai,China,Asia,95,34,230.1,5.11,0.99,2756.9
2022-11-14,2022,Shanghai,China,Asia,95,122,240.8,5.35,0.99,2889.8
2022-11-21,2022,Shanghai,China,Asia,95,120,190.0,4.22,0.99,2294.9
2022-11-28,2022,Shanghai,China,Asia,95,0,272.1,6.05,0.99,3281.3
2022-12-05,2022,Shanghai,China,Asia,95,200,436.8,8.0,0.99,5248.7
2022-12-12,2022,Shanghai,China,Asia,95,121,219.2,4.87,0.99,2625.5
2022-12-19,2022,Shanghai,China,Asia,95,161,222.2,4.94,0.99,2669.2
2022-12-26,2022,Shanghai,China,Asia,95,76,181.6,4.03,0.99,2185.6
2023-01-02,2023,Shanghai,China,Asia,95,62,81.5,1.81,0.99,956.7
2023-01-09,2023,Shanghai,China,Asia,95,33,39.1,0.87,0.661,462.6
2023-01-16,2023,Shanghai,China,Asia,95,74,91.6,2.04,0.99,1096.7
2023-01-23,2023,Shanghai,China,Asia,95,32,58.8,1.31,0.99,708.6
2023-01-30,2023,Shanghai,China,Asia,95,57,72.8,1.62,0.99,880.0
2023-02-06,2023,Shanghai,China,Asia,95,0,56.4,1.25,0.893,669.0
2023-02-13,2023,Shanghai,China,Asia,95,36,69.4,1.54,0.99,848.1
2023-02-20,2023,Shanghai,China,Asia,95,21,44.2,0.98,0.779,524.9
2023-02-27,2023,Shanghai,China,Asia,95,6,61.2,1.36,0.99,728.7
2023-03-06,2023,Shanghai,China,Asia,95,49,100.9,2.24,0.99,1210.8
2023-03-13,2023,Shanghai,China,Asia,95,21,60.3,1.34,0.99,725.9
2023-03-20,2023,Shanghai,China,Asia,95,23,49.9,1.11,0.841,617.5
2023-03-27,2023,Shanghai,China,Asia,95,52,59.4,1.32,0.99,714.8
2023-04-03,2023,Shanghai,China,Asia,95,16,43.7,0.97,0.765,536.5
2023-04-10,2023,Shanghai,China,Asia,95,54,64.2,1.43,0.99,783.5
2023-04-17,2023,Shanghai,China,Asia,95,65,59.9,1.33,0.99,712.1
2023-04-24,2023,Shanghai,China,Asia,95,48,44.9,1.0,0.811,536.0
2023-05-01,2023,Shanghai,China,Asia,95,55,83.0,1.84,0.99,983.7
2023-05-08,2023,Shanghai,China,Asia,95,21,56.8,1.26,0.906,690.6
2023-05-15,2023,Shanghai,China,Asia,95,38,56.8,1.26,0.99,678.5
2023-05-22,2023,Shanghai,China,Asia,95,28,54.7,1.21,0.987,651.5
2023-05-29,2023,Shanghai,China,Asia,95,39,51.9,1.15,0.914,606.2
2023-06-05,2023,Shanghai,China,Asia,95,39,44.7,0.99,0.791,530.5
2023-06-12,2023,Shanghai,China,Asia,95,29,58.2,1.29,0.99,687.7
2023-06-19,2023,Shanghai,China,Asia,95,27,49.2,1.09,0.849,595.3
2023-06-26,2023,Shanghai,China,Asia,95,26,44.7,0.99,0.818,539.9
2023-07-03,2023,Shanghai,China,Asia,95,29,62.9,1.4,0.99,754.1
2023-07-10,2023,Shanghai,China,Asia,95,39,83.2,1.85,0.99,994.8
2023-07-17,2023,Shanghai,China,Asia,95,25,63.9,1.42,0.99,770.6
2023-07-24,2023,Shanghai,China,Asia,95,64,75.9,1.69,0.99,902.9
2023-07-31,2023,Shanghai,China,Asia,95,23,48.5,1.08,0.822,572.4
2023-08-07,2023,Shanghai,China,Asia,95,20,54.4,1.21,0.916,650.2
2023-08-14,2023,Shanghai,China,Asia,95,44,81.6,1.81,0.99,980.0
2023-08-21,2023,Shanghai,China,Asia,95,28,56.5,1.26,0.99,681.4
2023-08-28,2023,Shanghai,China,Asia,95,29,102.1,2.27,0.99,1226.7
2023-09-04,2023,Shanghai,China,Asia,95,28,41.0,0.91,0.762,485.3
2023-09-11,2023,Shanghai,China,Asia,95,4,60.6,1.35,0.99,735.7
2023-09-18,2023,Shanghai,China,Asia,95,12,54.1,1.2,0.946,644.5
2023-09-25,2023,Shanghai,China,Asia,95,36,54.0,1.2,0.89,640.7
2023-10-02,2023,Shanghai,China,Asia,95,46,63.1,1.4,0.99,752.2
2023-10-09,2023,Shanghai,China,Asia,95,23,76.8,1.71,0.99,912.3
2023-10-16,2023,Shanghai,China,Asia,95,28,84.7,1.88,0.99,1020.8
2023-10-23,2023,Shanghai,China,Asia,95,17,47.1,1.05,0.848,573.8
2023-10-30,2023,Shanghai,China,Asia,95,30,59.7,1.33,0.99,717.2
2023-11-06,2023,Shanghai,China,Asia,95,13,44.0,0.98,0.771,537.2
2023-11-13,2023,Shanghai,China,Asia,95,63,91.0,2.02,0.99,1097.8
2023-11-20,2023,Shanghai,China,Asia,95,23,51.4,1.14,0.858,607.0
2023-11-27,2023,Shanghai,China,Asia,95,36,66.0,1.47,0.99,796.7
2023-12-04,2023,Shanghai,China,Asia,95,41,64.5,1.43,0.99,777.8
2023-12-11,2023,Shanghai,China,Asia,95,30,50.7,1.13,0.905,602.6
2023-12-18,2023,Shanghai,China,Asia,95,21,61.5,1.37,0.99,729.4
2023-12-25,2023,Shanghai,China,Asia,95,63,83.4,1.85,0.99,1016.0
2024-01-01,2024,Shanghai,China,Asia,95,72,57.9,1.29,0.99,697.3
2024-01-08,2024,Shanghai,China,Asia,95,32,55.0,1.22,0.987,659.0
2024-01-15,2024,Shanghai,China,Asia,95,53,94.7,2.1,0.99,1129.3
2024-01-22,2024,Shanghai,China,Asia,95,31,67.4,1.5,0.99,803.1
2024-01-29,2024,Shanghai,China,Asia,95,51,118.5,2.63,0.99,1416.0
2024-02-05,2024,Shanghai,China,Asia,95,38,60.0,1.33,0.99,725.0
2024-02-12,2024,Shanghai,China,Asia,95,30,51.7,1.15,0.861,615.4
2024-02-19,2024,Shanghai,China,Asia,95,9,48.3,1.07,0.88,585.0
2024-02-26,2024,Shanghai,China,Asia,95,39,77.5,1.72,0.99,916.4
2024-03-04,2024,Shanghai,China,Asia,95,41,75.4,1.67,0.99,907.5
2024-03-11,2024,Shanghai,China,Asia,95,5,47.5,1.05,0.794,574.0
2024-03-18,2024,Shanghai,China,Asia,95,11,72.2,1.6,0.99,860.4
2024-03-25,2024,Shanghai,China,Asia,95,8,55.6,1.23,0.906,660.1
2024-04-01,2024,Shanghai,China,Asia,95,12,62.1,1.38,0.99,753.3
2024-04-08,2024,Shanghai,China,Asia,95,19,43.9,0.97,0.801,523.1
2024-04-15,2024,Shanghai,China,Asia,95,41,52.6,1.17,0.9,640.4
2024-04-22,2024,Shanghai,China,Asia,95,28,67.6,1.5,0.99,814.0
2024-04-29,2024,Shanghai,China,Asia,95,28,78.4,1.74,0.99,940.4
2024-05-06,2024,Shanghai,China,Asia,95,17,72.4,1.61,0.99,873.0
2024-05-13,2024,Shanghai,China,Asia,95,35,43.7,0.97,0.847,532.5
2024-05-20,2024,Shanghai,China,Asia,95,45,86.8,1.93,0.99,1026.6
2024-05-27,2024,Shanghai,China,Asia,95,22,64.7,1.44,0.99,776.4
2024-06-03,2024,Shanghai,China,Asia,95,9,70.8,1.57,0.99,862.3
2024-06-10,2024,Shanghai,China,Asia,95,33,46.4,1.03,0.785,561.5
2024-06-17,2024,Shanghai,China,Asia,95,54,79.9,1.78,0.99,949.8
2024-06-24,2024,Shanghai,China,Asia,95,23,80.2,1.78,0.99,965.0
2024-07-01,2024,Shanghai,China,Asia,95,40,68.6,1.52,0.99,812.1
2024-07-08,2024,Shanghai,China,Asia,95,41,75.5,1.68,0.99,906.2
2024-07-15,2024,Shanghai,China,Asia,95,31,42.8,0.95,0.726,515.7
2024-07-22,2024,Shanghai,China,Asia,95,47,51.7,1.15,0.86,617.3
2024-07-29,2024,Shanghai,China,Asia,95,14,62.4,1.39,0.99,761.7
2024-08-05,2024,Shanghai,China,Asia,95,32,53.7,1.19,0.821,644.5
2024-08-12,2024,Shanghai,China,Asia,95,16,56.2,1.25,0.99,671.4
2024-08-19,2024,Shanghai,China,Asia,95,23,58.1,1.29,0.931,688.2
2024-08-26,2024,Shanghai,China,Asia,95,0,77.2,1.72,0.99,923.7
2024-09-02,2024,Shanghai,China,Asia,95,65,93.9,2.09,0.99,1137.6
2024-09-09,2024,Shanghai,China,Asia,95,37,50.5,1.12,0.821,614.3
2024-09-16,2024,Shanghai,China,Asia,95,13,54.9,1.22,0.943,660.8
2024-09-23,2024,Shanghai,China,Asia,95,34,53.7,1.19,0.907,649.1
2024-09-30,2024,Shanghai,China,Asia,95,32,67.8,1.51,0.99,815.3
2024-10-07,2024,Shanghai,China,Asia,95,70,69.7,1.55,0.99,844.2
2024-10-14,2024,Shanghai,China,Asia,95,82,131.5,2.92,0.99,1583.3
2024-10-21,2024,Shanghai,China,Asia,95,18,47.2,1.05,0.798,571.6
2024-10-28,2024,Shanghai,China,Asia,95,31,58.2,1.29,0.99,704.8
2024-11-04,2024,Shanghai,China,Asia,95,19,58.3,1.3,0.99,706.2
2024-11-11,2024,Shanghai,China,Asia,95,17,40.7,0.9,0.711,494.1
2024-11-18,2024,Shanghai,China,Asia,95,43,76.3,1.69,0.99,915.7
2024-11-25,2024,Shanghai,China,Asia,95,22,51.3,1.14,0.89,615.6
2024-12-02,2024,Shanghai,China,Asia,95,15,37.9,0.84,0.659,452.7
2024-12-09,2024,Shanghai,China,Asia,95,35,57.1,1.27,0.947,672.3
2024-12-16,2024,Shanghai,China,Asia,95,38,55.7,1.24,0.99,674.4
2024-12-23,2024,Shanghai,China,Asia,95,18,42.1,0.94,0.74,506.4
2024-12-30,2024,Shanghai,China,Asia,95,18,69.5,1.54,0.99,837.5
2019-01-07,2019,Singapore,Singapore,Asia,40,12,43.0,1.13,0.869,494.5
2019-01-14,2019,Singapore,Singapore,Asia,40,12,34.6,0.91,0.67,416.7
2019-01-21,2019,Singapore,Singapore,Asia,40,0,37.7,0.99,0.782,444.8
2019-01-28,2019,Singapore,Singapore,Asia,40,7,40.9,1.08,0.84,488.2
2019-02-04,2019,Singapore,Singapore,Asia,40,21,39.8,1.05,0.806,464.9
2019-02-11,2019,Singapore,Singapore,Asia,40,10,30.4,0.8,0.625,360.5
2019-02-18,2019,Singapore,Singapore,Asia,40,17,41.7,1.1,0.818,498.6
2019-02-25,2019,Singapore,Singapore,Asia,40,22,39.3,1.03,0.882,466.4
2019-03-04,2019,Singapore,Singapore,Asia,40,22,37.6,0.99,0.771,447.0
2019-03-11,2019,Singapore,Singapore,Asia,40,11,30.1,0.79,0.575,347.6
2019-03-18,2019,Singapore,Singapore,Asia,40,8,33.7,0.89,0.716,409.5
2019-03-25,2019,Singapore,Singapore,Asia,40,14,33.2,0.87,0.607,394.2
2019-04-01,2019,Singapore,Singapore,Asia,40,28,40.3,1.06,0.8,492.5
