year,exporter,importer,trade_category,key_goods,trade_value_bn_usd,yoy_growth_pct,effective_tariff_rate_pct,trade_active,supply_chain_integrated,concentration_risk
2003,Bangladesh,EU,textiles,"garments,knitwear",9.89,-5.27,2.5,1,0,0.241
2004,Bangladesh,EU,textiles,"garments,knitwear",10.58,6.98,2.5,1,0,0.295
2005,Bangladesh,EU,textiles,"garments,knitwear",11.15,5.39,2.5,1,0,0.473
2006,Bangladesh,EU,textiles,"garments,knitwear",11.93,7.0,2.5,1,0,0.501
2007,Bangladesh,EU,textiles,"garments,knitwear",12.1,1.42,2.5,1,0,0.308
2008,Bangladesh,EU,textiles,"garments,knitwear",13.35,10.33,2.5,1,0,0.447
2009,Bangladesh,EU,textiles,"garments,knitwear",12.25,-8.24,2.5,1,0,0.285
2010,Bangladesh,EU,textiles,"garments,knitwear",13.84,12.98,2.5,1,0,0.148
2011,Bangladesh,EU,textiles,"garments,knitwear",13.77,-0.51,2.5,1,0,0.189
2012,Bangladesh,EU,textiles,"garments,knitwear",13.54,-1.67,2.5,1,0,0.486
2013,Bangladesh,EU,textiles,"garments,knitwear",13.78,1.77,2.5,1,0,0.153
2014,Bangladesh,EU,textiles,"garments,knitwear",13.06,-5.22,2.5,1,0,0.436
2015,Bangladesh,EU,textiles,"garments,knitwear",13.67,4.67,2.5,1,0,0.383
2016,Bangladesh,EU,textiles,"garments,knitwear",12.18,-10.9,2.5,1,0,0.494
2017,Bangladesh,EU,textiles,"garments,knitwear",14.05,15.35,2.5,1,0,0.37
2018,Bangladesh,EU,textiles,"garments,knitwear",13.42,-4.48,2.5,1,0,0.41
2019,Bangladesh,EU,textiles,"garments,knitwear",14.1,5.07,2.5,1,0,0.38
2020,Bangladesh,EU,textiles,"garments,knitwear",12.14,-13.9,2.5,1,0,0.396
2021,Bangladesh,EU,textiles,"garments,knitwear",14.35,18.2,2.5,1,0,0.35
2022,Bangladesh,EU,textiles,"garments,knitwear",13.38,-6.76,2.5,1,0,0.413
2023,Bangladesh,EU,textiles,"garments,knitwear",15.05,12.48,2.5,1,0,0.472
2024,Bangladesh,EU,textiles,"garments,knitwear",14.92,-0.86,2.5,1,0,0.344
2000,Brazil,China,commodities,"soybeans,iron ore,beef",23.86,,2.5,1,0,0.412
2001,Brazil,China,commodities,"soybeans,iron ore,beef",25.65,7.5,2.5,1,0,0.353
2002,Brazil,China,commodities,"soybeans,iron ore,beef",24.74,-3.55,2.5,1,0,0.296
2003,Brazil,China,commodities,"soybeans,iron ore,beef",26.51,7.15,2.5,1,0,0.22
2004,Brazil,China,commodities,"soybeans,iron ore,beef",27.28,2.9,2.5,1,0,0.213
2005,Brazil,China,commodities,"soybeans,iron ore,beef",29.76,9.09,2.5,1,0,0.392
2006,Brazil,China,commodities,"soybeans,iron ore,beef",28.72,-3.49,2.5,1,0,0.272
2007,Brazil,China,commodities,"soybeans,iron ore,beef",34.81,21.2,2.5,1,0,0.426
2008,Brazil,China,commodities,"soybeans,iron ore,beef",34.6,-0.6,2.5,1,0,0.27
2009,Brazil,China,commodities,"soybeans,iron ore,beef",30.25,-12.57,2.5,1,0,0.348
2010,Brazil,China,commodities,"soybeans,iron ore,beef",32.92,8.83,2.5,1,0,0.291
2011,Brazil,China,commodities,"soybeans,iron ore,beef",33.35,1.31,2.5,1,0,0.171
2012,Brazil,China,commodities,"soybeans,iron ore,beef",32.23,-3.36,2.5,1,0,0.326
2013,Brazil,China,commodities,"soybeans,iron ore,beef",32.85,1.92,2.5,1,0,0.314
2014,Brazil,China,commodities,"soybeans,iron ore,beef",31.87,-2.98,2.5,1,0,0.446
2015,Brazil,China,commodities,"soybeans,iron ore,beef",36.93,15.88,2.5,1,0,0.473
2016,Brazil,China,commodities,"soybeans,iron ore,beef",35.55,-3.74,2.5,1,0,0.425
2017,Brazil,China,commodities,"soybeans,iron ore,beef",34.34,-3.4,2.5,1,0,0.36
2018,Brazil,China,commodities,"soybeans,iron ore,beef",32.76,-4.6,2.5,1,0,0.433
2019,Brazil,China,commodities,"soybeans,iron ore,beef",34.85,6.38,2.5,1,0,0.294
2020,Brazil,China,commodities,"soybeans,iron ore,beef",31.93,-8.38,2.5,1,0,0.267
2021,Brazil,China,commodities,"soybeans,iron ore,beef",35.79,12.09,2.5,1,0,0.443
2022,Brazil,China,commodities,"soybeans,iron ore,beef",37.34,4.33,2.5,1,0,0.322
2023,Brazil,China,commodities,"soybeans,iron ore,beef",36.19,-3.08,2.5,1,0,0.371
2024,Brazil,China,commodities,"soybeans,iron ore,beef",34.1,-5.78,2.5,1,0,0.259
2000,Canada,USA,integrated,"energy,vehicles,food,lumber",364.59,,2.5,1,1,0.263
2001,Canada,USA,integrated,"energy,vehicles,food,lumber",380.49,4.36,2.5,1,1,0.1
2002,Canada,USA,integrated,"energy,vehicles,food,lumber",380.23,-0.07,2.5,1,1,0.489
2003,Canada,USA,integrated,"energy,vehicles,food,lumber",405.25,6.58,2.5,1,1,0.422
2004,Canada,USA,integrated,"energy,vehicles,food,lumber",410.35,1.26,2.5,1,1,0.392
2005,Canada,USA,integrated,"energy,vehicles,food,lumber",446.77,8.88,2.5,1,1,0.379
2006,Canada,USA,integrated,"energy,vehicles,food,lumber",508.9,13.91,2.5,1,1,0.507
2007,Canada,USA,integrated,"energy,vehicles,food,lumber",508.34,-0.11,2.5,1,1,0.447
2008,Canada,USA,integrated,"energy,vehicles,food,lumber",498.64,-1.91,2.5,1,1,0.293
2009,Canada,USA,integrated,"energy,vehicles,food,lumber",428.0,-14.17,2.5,1,1,0.198
2010,Canada,USA,integrated,"energy,vehicles,food,lumber",499.09,16.61,2.5,1,1,0.347
2011,Canada,USA,integrated,"energy,vehicles,food,lumber",492.38,-1.34,2.5,1,1,0.345
2012,Canada,USA,integrated,"energy,vehicles,food,lumber",513.93,4.38,2.5,1,1,0.214
2013,Canada,USA,integrated,"energy,vehicles,food,lumber",549.65,6.95,2.5,1,1,0.191
2014,Canada,USA,integrated,"energy,vehicles,food,lumber",540.74,-1.62,2.5,1,1,0.1
2015,Canada,USA,integrated,"energy,vehicles,food,lumber",514.18,-4.91,2.5,1,1,0.206
2016,Canada,USA,integrated,"energy,vehicles,food,lumber",503.75,-2.03,2.5,1,1,0.567
2017,Canada,USA,integrated,"energy,vehicles,food,lumber",509.98,1.24,2.5,1,1,0.217
2018,Canada,USA,integrated,"energy,vehicles,food,lumber",527.29,3.39,2.5,1,1,0.307
2019,Canada,USA,integrated,"energy,vehicles,food,lumber",520.24,-1.34,2.5,1,1,0.24
2020,Canada,USA,integrated,"energy,vehicles,food,lumber",459.56,-11.66,2.5,1,1,0.255
2021,Canada,USA,integrated,"energy,vehicles,food,lumber",576.6,25.47,2.5,1,1,0.323
2022,Canada,USA,integrated,"energy,vehicles,food,lumber",535.55,-7.12,2.5,1,1,0.369
2023,Canada,USA,integrated,"energy,vehicles,food,lumber",560.26,4.61,2.5,1,1,0.419
2024,Canada,USA,integrated,"energy,vehicles,food,lumber",547.82,-2.22,2.5,1,1,0.341
2000,Chile,China,commodities,"copper,lithium,fruit",58.19,,2.5,1,0,0.498
2001,Chile,China,commodities,"copper,lithium,fruit",57.16,-1.77,2.5,1,0,0.168
2002,Chile,China,commodities,"copper,lithium,fruit",59.3,3.74,2.5,1,0,0.106
2003,Chile,China,commodities,"copper,lithium,fruit",62.0,4.55,2.5,1,0,0.289
2004,Chile,China,commodities,"copper,lithium,fruit",68.52,10.52,2.5,1,0,0.366
2005,Chile,China,commodities,"copper,lithium,fruit",69.53,1.47,2.5,1,0,0.418
2006,Chile,China,commodities,"copper,lithium,fruit",73.06,5.08,2.5,1,0,0.351
2007,Chile,China,commodities,"copper,lithium,fruit",75.38,3.18,2.5,1,0,0.481
2008,Chile,China,commodities,"copper,lithium,fruit",82.81,9.86,2.5,1,0,0.431
2009,Chile,China,commodities,"copper,lithium,fruit",69.35,-16.25,2.5,1,0,0.371
2010,Chile,China,commodities,"copper,lithium,fruit",84.65,22.06,2.5,1,0,0.105
2011,Chile,China,commodities,"copper,lithium,fruit",86.7,2.42,2.5,1,0,0.2
2012,Chile,China,commodities,"copper,lithium,fruit",83.44,-3.76,2.5,1,0,0.565
2013,Chile,China,commodities,"copper,lithium,fruit",85.96,3.02,2.5,1,0,0.171
2014,Chile,China,commodities,"copper,lithium,fruit",82.15,-4.43,2.5,1,0,0.498
2015,Chile,China,commodities,"copper,lithium,fruit",80.08,-2.52,2.5,1,0,0.307
2016,Chile,China,commodities,"copper,lithium,fruit",81.46,1.72,2.5,1,0,0.418
2017,Chile,China,commodities,"copper,lithium,fruit",77.8,-4.49,2.5,1,0,0.425
2018,Chile,China,commodities,"copper,lithium,fruit",80.7,3.73,2.5,1,0,0.349
2019,Chile,China,commodities,"copper,lithium,fruit",82.0,1.61,2.5,1,0,0.422
2020,Chile,China,commodities,"copper,lithium,fruit",76.05,-7.26,2.5,1,0,0.523
2021,Chile,China,commodities,"copper,lithium,fruit",92.96,22.24,2.5,1,0,0.255
2022,Chile,China,commodities,"copper,lithium,fruit",94.37,1.52,2.5,1,0,0.388
2023,Chile,China,commodities,"copper,lithium,fruit",89.97,-4.66,2.5,1,0,0.452
2024,Chile,China,commodities,"copper,lithium,fruit",85.71,-4.73,2.5,1,0,0.184
2000,China,EU,manufacturing,"electronics,machinery,chemicals",80.61,,2.5,1,1,0.181
2001,China,EU,manufacturing,"electronics,machinery,chemicals",84.08,4.3,2.5,1,1,0.502
2002,China,EU,manufacturing,"electronics,machinery,chemicals",91.59,8.93,2.5,1,1,0.353
2003,China,EU,manufacturing,"electronics,machinery,chemicals",102.61,12.03,2.5,1,1,0.281
2004,China,EU,manufacturing,"electronics,machinery,chemicals",96.9,-5.56,2.5,1,1,0.176
2005,China,EU,manufacturing,"electronics,machinery,chemicals",100.47,3.68,2.5,1,1,0.565
2006,China,EU,manufacturing,"electronics,machinery,chemicals",105.65,5.16,2.5,1,1,0.167
2007,China,EU,manufacturing,"electronics,machinery,chemicals",116.56,10.33,2.5,1,1,0.397
2008,China,EU,manufacturing,"electronics,machinery,chemicals",122.19,4.83,2.5,1,1,0.314
2009,China,EU,manufacturing,"electronics,machinery,chemicals",99.91,-18.23,2.5,1,1,0.328
2010,China,EU,manufacturing,"electronics,machinery,chemicals",120.85,20.96,2.5,1,1,0.341
2011,China,EU,manufacturing,"electronics,machinery,chemicals",120.04,-0.67,2.5,1,1,0.286
2012,China,EU,manufacturing,"electronics,machinery,chemicals",120.22,0.15,2.5,1,1,0.35
2013,China,EU,manufacturing,"electronics,machinery,chemicals",114.91,-4.42,2.5,1,1,0.367
2014,China,EU,manufacturing,"electronics,machinery,chemicals",116.38,1.28,2.5,1,1,0.424
2015,China,EU,manufacturing,"electronics,machinery,chemicals",122.4,5.17,2.5,1,1,0.41
2016,China,EU,manufacturing,"electronics,machinery,chemicals",110.71,-9.55,2.5,1,1,0.234
2017,China,EU,manufacturing,"electronics,machinery,chemicals",115.22,4.07,2.5,1,1,0.254
2018,China,EU,manufacturing,"electronics,machinery,chemicals",115.66,0.38,2.5,1,1,0.461
2019,China,EU,manufacturing,"electronics,machinery,chemicals",121.55,5.09,2.5,1,1,0.299
2020,China,EU,manufacturing,"electronics,machinery,chemicals",111.35,-8.39,2.5,1,1,0.389
2021,China,EU,manufacturing,"electronics,machinery,chemicals",127.48,14.49,2.5,1,1,0.488
2022,China,EU,manufacturing,"electronics,machinery,chemicals",124.32,-2.48,2.5,1,1,0.356
2023,China,EU,manufacturing,"electronics,machinery,chemicals",122.4,-1.54,2.5,1,1,0.23
2024,China,EU,manufacturing,"electronics,machinery,chemicals",120.89,-1.23,2.5,1,1,0.232
2000,China,Japan,manufacturing,"electronics,machinery,vehicles",83.98,,2.5,1,1,0.318
2001,China,Japan,manufacturing,"electronics,machinery,vehicles",88.19,5.01,2.5,1,1,0.563
2002,China,Japan,manufacturing,"electronics,machinery,vehicles",89.55,1.54,2.5,1,1,0.201
2003,China,Japan,manufacturing,"electronics,machinery,vehicles",95.13,6.23,2.5,1,1,0.341
2004,China,Japan,manufacturing,"electronics,machinery,vehicles",105.47,10.87,2.5,1,1,0.424
2005,China,Japan,manufacturing,"electronics,machinery,vehicles",112.66,6.82,2.5,1,1,0.337
2006,China,Japan,manufacturing,"electronics,machinery,vehicles",112.12,-0.48,2.5,1,1,0.546
2007,China,Japan,manufacturing,"electronics,machinery,vehicles",107.0,-4.57,2.5,1,1,0.358
2008,China,Japan,manufacturing,"electronics,machinery,vehicles",127.76,19.4,2.5,1,1,0.575
2009,China,Japan,manufacturing,"electronics,machinery,vehicles",103.41,-19.06,2.5,1,1,0.3
2010,China,Japan,manufacturing,"electronics,machinery,vehicles",118.95,15.03,2.5,1,1,0.134
2011,China,Japan,manufacturing,"electronics,machinery,vehicles",124.56,4.72,2.5,1,1,0.45
2012,China,Japan,manufacturing,"electronics,machinery,vehicles",131.79,5.8,2.5,1,1,0.286
2013,China,Japan,manufacturing,"electronics,machinery,vehicles",128.98,-2.13,2.5,1,1,0.326
2014,China,Japan,manufacturing,"electronics,machinery,vehicles",128.41,-0.44,2.5,1,1,0.489
2015,China,Japan,manufacturing,"electronics,machinery,vehicles",124.61,-2.96,2.5,1,1,0.479
2016,China,Japan,manufacturing,"electronics,machinery,vehicles",119.64,-3.99,2.5,1,1,0.429
2017,China,Japan,manufacturing,"electronics,machinery,vehicles",130.89,9.4,2.5,1,1,0.462
2018,China,Japan,manufacturing,"electronics,machinery,vehicles",119.77,-8.5,2.5,1,1,0.325
2019,China,Japan,manufacturing,"electronics,machinery,vehicles",127.11,6.13,2.5,1,1,0.403
2020,China,Japan,manufacturing,"electronics,machinery,vehicles",116.07,-8.69,2.5,1,1,0.522
2021,China,Japan,manufacturing,"electronics,machinery,vehicles",128.78,10.95,2.5,1,1,0.321
2022,China,Japan,manufacturing,"electronics,machinery,vehicles",126.78,-1.55,2.5,1,1,0.425
2023,China,Japan,manufacturing,"electronics,machinery,vehicles",138.67,9.38,2.5,1,1,0.752
2024,China,Japan,manufacturing,"electronics,machinery,vehicles",141.31,1.9,2.5,1,1,0.39
2000,China,SouthKorea,manufacturing,"electronics,semiconductors",12.12,,2.5,1,1,0.312
2001,China,SouthKorea,manufacturing,"electronics,semiconductors",12.67,4.54,2.5,1,1,0.383
2002,China,SouthKorea,manufacturing,"electronics,semiconductors",12.23,-3.47,2.5,1,1,0.374
2003,China,SouthKorea,manufacturing,"electronics,semiconductors",13.95,14.06,2.5,1,1,0.56
2004,China,SouthKorea,manufacturing,"electronics,semiconductors",14.51,4.01,2.5,1,1,0.258
2005,China,SouthKorea,manufacturing,"electronics,semiconductors",15.48,6.69,2.5,1,1,0.359
2006,China,SouthKorea,manufacturing,"electronics,semiconductors",16.0,3.36,2.5,1,1,0.197
2007,China,SouthKorea,manufacturing,"electronics,semiconductors",16.78,4.88,2.5,1,1,0.28
2008,China,SouthKorea,manufacturing,"electronics,semiconductors",17.58,4.77,2.5,1,1,0.438
2009,China,SouthKorea,manufacturing,"electronics,semiconductors",15.19,-13.59,2.5,1,1,0.323
2010,China,SouthKorea,manufacturing,"electronics,semiconductors",18.12,19.29,2.5,1,1,0.318
2011,China,SouthKorea,manufacturing,"electronics,semiconductors",19.68,8.61,2.5,1,1,0.38
2012,China,SouthKorea,manufacturing,"electronics,semiconductors",16.87,-14.28,2.5,1,1,0.249
2013,China,SouthKorea,manufacturing,"electronics,semiconductors",17.08,1.24,2.5,1,1,0.251
2014,China,SouthKorea,manufacturing,"electronics,semiconductors",18.11,6.03,2.5,1,1,0.217
2015,China,SouthKorea,manufacturing,"electronics,semiconductors",17.5,-3.37,2.5,1,1,0.487
2016,China,SouthKorea,manufacturing,"electronics,semiconductors",17.36,-0.8,2.5,1,1,0.431
2017,China,SouthKorea,manufacturing,"electronics,semiconductors",16.58,-4.49,2.5,1,1,0.306
2018,China,SouthKorea,manufacturing,"electronics,semiconductors",17.11,3.2,2.5,1,1,0.386
2019,China,SouthKorea,manufacturing,"electronics,semiconductors",17.01,-0.58,2.5,1,1,0.598
2020,China,SouthKorea,manufacturing,"electronics,semiconductors",15.28,-10.17,2.5,1,1,0.486
2021,China,SouthKorea,manufacturing,"electronics,semiconductors",19.83,29.78,2.5,1,1,0.387
2022,China,SouthKorea,manufacturing,"electronics,semiconductors",19.19,-3.23,2.5,1,1,0.573
2023,China,SouthKorea,manufacturing,"electronics,semiconductors",21.14,10.16,2.5,1,1,0.325
2024,China,SouthKorea,manufacturing,"electronics,semiconductors",19.27,-8.85,2.5,1,1,0.284
2000,China,USA,manufacturing,"electronics,machinery,textiles",103.58,,2.5,1,1,0.381
2001,China,USA,manufacturing,"electronics,machinery,textiles",109.22,5.45,2.5,1,1,0.417
2002,China,USA,manufacturing,"electronics,machinery,textiles",105.54,-3.37,2.5,1,1,0.438
2003,China,USA,manufacturing,"electronics,machinery,textiles",115.29,9.24,2.5,1,1,0.257
2004,China,USA,manufacturing,"electronics,machinery,textiles",124.97,8.4,2.5,1,1,0.461
2005,China,USA,manufacturing,"electronics,machinery,textiles",125.18,0.17,2.5,1,1,0.308
2006,China,USA,manufacturing,"electronics,machinery,textiles",126.78,1.28,2.5,1,1,0.133
2007,China,USA,manufacturing,"electronics,machinery,textiles",139.35,9.91,2.5,1,1,0.445
2008,China,USA,manufacturing,"electronics,machinery,textiles",144.4,3.62,2.5,1,1,0.521
2009,China,USA,manufacturing,"electronics,machinery,textiles",128.95,-10.7,2.5,1,1,0.326
2010,China,USA,manufacturing,"electronics,machinery,textiles",146.05,13.26,2.5,1,1,0.468
2011,China,USA,manufacturing,"electronics,machinery,textiles",142.19,-2.64,2.5,1,1,0.335
2012,China,USA,manufacturing,"electronics,machinery,textiles",144.55,1.66,2.5,1,1,0.283
2013,China,USA,manufacturing,"electronics,machinery,textiles",147.95,2.35,2.5,1,1,0.336
2014,China,USA,manufacturing,"electronics,machinery,textiles",154.09,4.15,2.5,1,1,0.349
2015,China,USA,manufacturing,"electronics,machinery,textiles",151.06,-1.97,2.5,1,1,0.371
2016,China,USA,manufacturing,"electronics,machinery,textiles",156.28,3.46,2.5,1,1,0.314
2017,China,USA,manufacturing,"electronics,machinery,textiles",145.99,-6.58,2.5,1,1,0.439
2018,China,USA,manufacturing,"electronics,machinery,textiles",124.01,-15.06,12.0,1,1,0.41
2019,China,USA,manufacturing,"electronics,machinery,textiles",137.89,11.19,22.0,1,1,0.233
2020,China,USA,manufacturing,"electronics,machinery,textiles",122.84,-10.91,22.0,1,1,0.291
2021,China,USA,manufacturing,"electronics,machinery,textiles",134.67,9.63,22.0,1,1,0.432
2022,China,USA,manufacturing,"electronics,machinery,textiles",130.75,-2.91,22.0,1,1,0.332
2023,China,USA,manufacturing,"electronics,machinery,textiles",126.38,-3.34,22.0,1,1,0.263
2024,China,USA,manufacturing,"electronics,machinery,textiles",127.68,1.03,22.0,1,1,0.328
2000,Colombia,USA,energy_goods,"oil,coffee,coal",46.27,,2.5,1,0,0.286
2001,Colombia,USA,energy_goods,"oil,coffee,coal",47.75,3.2,2.5,1,0,0.288
2002,Colombia,USA,energy_goods,"oil,coffee,coal",54.13,13.36,2.5,1,0,0.375
2003,Colombia,USA,energy_goods,"oil,coffee,coal",59.54,9.99,2.5,1,0,0.597
2004,Colombia,USA,energy_goods,"oil,coffee,coal",58.03,-2.54,2.5,1,0,0.268
2005,Colombia,USA,energy_goods,"oil,coffee,coal",64.17,10.58,2.5,1,0,0.502
2006,Colombia,USA,energy_goods,"oil,coffee,coal",65.47,2.03,2.5,1,0,0.435
2007,Colombia,USA,energy_goods,"oil,coffee,coal",69.04,5.45,2.5,1,0,0.231
2008,Colombia,USA,energy_goods,"oil,coffee,coal",67.54,-2.17,2.5,1,0,0.344
2009,Colombia,USA,energy_goods,"oil,coffee,coal",61.91,-8.34,2.5,1,0,0.383
2010,Colombia,USA,energy_goods,"oil,coffee,coal",70.55,13.96,2.5,1,0,0.146
2011,Colombia,USA,energy_goods,"oil,coffee,coal",65.17,-7.63,2.5,1,0,0.438
2012,Colombia,USA,energy_goods,"oil,coffee,coal",69.06,5.97,2.5,1,0,0.322
2013,Colombia,USA,energy_goods,"oil,coffee,coal",69.35,0.42,2.5,1,0,0.24
2014,Colombia,USA,energy_goods,"oil,coffee,coal",68.3,-1.51,2.5,1,0,0.472
2015,Colombia,USA,energy_goods,"oil,coffee,coal",70.24,2.84,2.5,1,0,0.426
2016,Colombia,USA,energy_goods,"oil,coffee,coal",73.13,4.11,2.5,1,0,0.388
2017,Colombia,USA,energy_goods,"oil,coffee,coal",73.23,0.14,2.5,1,0,0.352
2018,Colombia,USA,energy_goods,"oil,coffee,coal",74.89,2.27,2.5,1,0,0.449
2019,Colombia,USA,energy_goods,"oil,coffee,coal",73.68,-1.62,2.5,1,0,0.237
2020,Colombia,USA,energy_goods,"oil,coffee,coal",65.94,-10.5,2.5,1,0,0.13
2021,Colombia,USA,energy_goods,"oil,coffee,coal",81.01,22.85,2.5,1,0,0.275
2022,Colombia,USA,energy_goods,"oil,coffee,coal",75.12,-7.27,2.5,1,0,0.186
2023,Colombia,USA,energy_goods,"oil,coffee,coal",76.48,1.81,2.5,1,0,0.318
2024,Colombia,USA,energy_goods,"oil,coffee,coal",82.38,7.71,2.5,1,0,0.453
2000,EU,USA,services_goods,"aircraft,pharma,chemicals",209.14,,2.5,1,0,0.351
2001,EU,USA,services_goods,"aircraft,pharma,chemicals",241.28,15.37,2.5,1,0,0.407
2002,EU,USA,services_goods,"aircraft,pharma,chemicals",237.64,-1.51,2.5,1,0,0.265
2003,EU,USA,services_goods,"aircraft,pharma,chemicals",247.11,3.99,2.5,1,0,0.59
2004,EU,USA,services_goods,"aircraft,pharma,chemicals",268.14,8.51,2.5,1,0,0.374
2005,EU,USA,services_goods,"aircraft,pharma,chemicals",258.04,-3.77,2.5,1,0,0.208
2006,EU,USA,services_goods,"aircraft,pharma,chemicals",294.3,14.05,2.5,1,0,0.29
2007,EU,USA,services_goods,"aircraft,pharma,chemicals",311.21,5.75,2.5,1,0,0.364
2008,EU,USA,services_goods,"aircraft,pharma,chemicals",332.94,6.98,2.5,1,0,0.126
2009,EU,USA,services_goods,"aircraft,pharma,chemicals",273.67,-17.8,2.5,1,0,0.338
2010,EU,USA,services_goods,"aircraft,pharma,chemicals",316.73,15.73,2.5,1,0,0.313
2011,EU,USA,services_goods,"aircraft,pharma,chemicals",326.46,3.07,2.5,1,0,0.261
2012,EU,USA,services_goods,"aircraft,pharma,chemicals",327.55,0.33,2.5,1,0,0.415
2013,EU,USA,services_goods,"aircraft,pharma,chemicals",325.89,-0.51,2.5,1,0,0.436
2014,EU,USA,services_goods,"aircraft,pharma,chemicals",297.98,-8.56,2.5,1,0,0.28
2015,EU,USA,services_goods,"aircraft,pharma,chemicals",336.85,13.04,2.5,1,0,0.246
2016,EU,USA,services_goods,"aircraft,pharma,chemicals",312.29,-7.29,2.5,1,0,0.335
2017,EU,USA,services_goods,"aircraft,pharma,chemicals",324.82,4.01,2.5,1,0,0.286
2018,EU,USA,services_goods,"aircraft,pharma,chemicals",349.92,7.73,2.5,1,0,0.384
2019,EU,USA,services_goods,"aircraft,pharma,chemicals",313.51,-10.41,2.5,1,0,0.177
2020,EU,USA,services_goods,"aircraft,pharma,chemicals",303.93,-3.06,2.5,1,0,0.239
2021,EU,USA,services_goods,"aircraft,pharma,chemicals",382.61,25.89,2.5,1,0,0.401
2022,EU,USA,services_goods,"aircraft,pharma,chemicals",359.0,-6.17,2.5,1,0,0.38
2023,EU,USA,services_goods,"aircraft,pharma,chemicals",367.15,2.27,2.5,1,0,0.1
2024,EU,USA,services_goods,"aircraft,pharma,chemicals",334.55,-8.88,2.5,1,0,0.474
2000,Egypt,EU,energy_goods,"LNG,petroleum,textiles",53.35,,2.5,1,0,0.198
2001,Egypt,EU,energy_goods,"LNG,petroleum,textiles",58.53,9.71,2.5,1,0,0.24
2002,Egypt,EU,energy_goods,"LNG,petroleum,textiles",62.74,7.19,2.5,1,0,0.476
2003,Egypt,EU,energy_goods,"LNG,petroleum,textiles",63.1,0.57,2.5,1,0,0.372
2004,Egypt,EU,energy_goods,"LNG,petroleum,textiles",68.29,8.23,2.5,1,0,0.383
2005,Egypt,EU,energy_goods,"LNG,petroleum,textiles",67.81,-0.7,2.5,1,0,0.168
2006,Egypt,EU,energy_goods,"LNG,petroleum,textiles",75.19,10.88,2.5,1,0,0.394
2007,Egypt,EU,energy_goods,"LNG,petroleum,textiles",84.84,12.83,2.5,1,0,0.338
2008,Egypt,EU,energy_goods,"LNG,petroleum,textiles",80.75,-4.82,2.5,1,0,0.389
2009,Egypt,EU,energy_goods,"LNG,petroleum,textiles",72.06,-10.76,2.5,1,0,0.234
2010,Egypt,EU,energy_goods,"LNG,petroleum,textiles",79.54,10.38,2.5,1,0,0.449
2011,Egypt,EU,energy_goods,"LNG,petroleum,textiles",78.73,-1.02,2.5,1,0,0.445
2012,Egypt,EU,energy_goods,"LNG,petroleum,textiles",80.09,1.73,2.5,1,0,0.398
